"All","Wszystko"
"Allowed Scopes","Dopuszczalne zakresy"
"An order cannot be created in disallowed store.","Nie można utworzyć zamówienia w niedozwolonym sklepie."
"Custom","Niestandardowe"
"None","Brak"
"Not enough permissions to delete this item(s): %s.","Brak wystarczających uprawnień, aby usunąć te elementy: %s."
"Not enough permissions to delete this item.","Nie masz uprawnień, by usunąć ten element."
"Not enough permissions to save specified Combination of Store Scopes.","Nie masz uprawnień, by zapisać kombinację zakresów sklepu."
"Not enough permissions to save this item.","Nie masz uprawnień, by zapisać ten element."
"Not enough permissions to set All Scopes to a Role.","Nie masz uprawnień, by przypisać wszystkie zakresy do roli."
"Not enough permissions to view this item.","Nie masz uprawnień, aby wyświetlić ten element."
"Please assign this entity to a store view.","Przypisz obiekt do widoku sklepu."
"Please specify at least one website or one store group.","Podaj co najmniej jedną stronę lub grupę sklepów."
"Role Scopes","Zakresy ról"
"This item must be assigned to a store view.","Ten element musi być przypisany do widoku sklepu."
"This item must be assigned to a website.","Ten element musi być przypisany do strony www."
"Website ""%s"" is not allowed in your current permission scope.","Nie masz uprawnień, by wyświetlić stronę ""%s""."
"Wrong store ID: %d","Niepoprawne ID sklepu (ID: %d)"
"Wrong website ID: %d","Niepoprawne ID strony (ID: %d)"
