"-- None --","-- Żaden --"
"Active","Aktywny"
"Add Banner","Dodaj baner"
"An error occurred while deleting banner data. Please review log and try again.","Wystąpił błąd podczas usuwania danych baneru. Przejrzyj dziennik i spróbuj ponownie."
"An error occurred while mass deleting banners. Please review log and try again.","Wystąpił błąd podczas masowego usuwania banerów. Przejrzyj dziennik i spróbuj ponownie."
"Any Banner Type","Dowolny typ baneru"
"Applies To","Dotyczy"
"Are you sure you want to delete these banners?","Czy na pewno chcesz usunąć te banery?"
"Banner Block Template","Szablon bloku banera"
"Banner Default Content for All Store Views","Domyślna zawartość banera dla wszystkich widoków sklepu"
"Banner Information","Informacje o banerze"
"Banner Inline Template","Wbudowany szablon banera"
"Banner Name","Nazwa banera"
"Banner Properties","Właściwości banera"
"Banner Rotator","Karuzela banerów"
"Banner Types","Typy banerów"
"Banners","Banery"
"Banners to Display","Banery do wyświetlania"
"CMS","CMS"
"Catalog Promotions Related","Katalog promocji związanych z"
"Content","Zawartość"
"Content Area","Obszar zawartości"
"Default Content","Domyślna zawartość"
"Delete","Usuń"
"Delete Banner","Usunąć baner"
"Displays Specified or Promotion Banners","Wyświetla określone banery lub banery promocyjne"
"Do not rotate, display all at once","Nie obracaj, pokaż wszystkie na raz"
"Edit Banner","Edytuj baner"
"Footer","Stopka"
"Header","Nagłówek"
"ID","ID"
"Left Column","Lewa kolumna"
"Manage Banners","Zarządzaj banerami"
"Name must not be empty.","Nazwa nie może być pusta."
"New Banner","Nowy baner"
"No","Nie"
"No Default Content","Brak domyślnej zawartości"
"One at the time, Random","Jeden na raz, losowo"
"One at the time, Series","Jeden na raz, seria"
"One at the time, Shuffle","Jeden na raz, tasowanie"
"Please select banner(s).","Proszę wybrać baner(y)."
"Please specify default content for at least one store view.","Podaj domyślną zawartość dla co najmniej jednego widoku sklepu."
"Position","Pozycja"
"Related Banners","Banery powiązane"
"Related Catalog Price Rules","Powiązane reguły cenowe katalogu"
"Related Promotions","Powiązane promocje"
"Related Shopping Cart Price Rules","Powiązane zasady cenowe koszyka"
"Restrict by Banner Types","Ogranicz względem typów banerów"
"Right Column","Prawa kolumna"
"Rotation Mode","Tryb obracania"
"Save Banner","Zapisz baner"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Shopping Cart Promotions Related","Promocje powiązane z koszykiem"
"Specified Banner Types","Określone rodzaje banerów"
"Specified Banners","Określone banery"
"Specify Banners","Określ banery"
"Specify Types","Określ rodzaje"
"Store View Specific Content","Określona zawartość widoku sklepu"
"The banner has been deleted.","Baner został usunięty."
"The banner has been saved.","Baner został zapisany."
"This banner no longer exists.","Ten baner już nie istnieje."
"Total of %d record(s) have been deleted.","Usunięto %d wpis(ów)."
"Unable to find a banner to delete.","Nie można znaleźć banera do usunięcia."
"Unable to save the banner.","Nie można zapisać się banera."
"Use Default","Użyj domyślnych"
"Visible In","Widoczny w"
"Yes","Tak"
