"Additional Info","Dodatkowe Informacje"
"Advanced Search","Wyszukiwanie zaawansowane"
"Advanced Search Form","Formularz zaawansowanego wyszukiwania"
"Advanced Search Result","Wynik zaawansowanego wyszukiwania"
"Catalog Advanced Search","Zaawansowane wyszukiwanie w katalogu"
"Catalog Search Index","Indeks wyszukiwania w katalogu"
"Enter search keyword","Wprowadź słowo kluczowe wyszukiwania"
"Go","Przejdź"
"Popular Search Terms","Popularne wyszukiwane frazy"
"Quick Search Form","Formularz szybkiego wyszukiwania"
"Search","Szukaj"
"Search Settings","Ustawienia wyszukiwania"
"Search results for '%s'","Wyniki wyszukiwania dla '%s'"
"Search site:","Szukaj na stronie:"
"Subscribe to Feed","Subskrybuj kanał"
"Your search returns no results.","Brak wyników wyszukiwania."
