"%s product requires your attention.","%s produkt wymaga Twojej uwagi."
"%s product was added to your shopping cart.","Produkt %s został dodany do koszyka."
"%s products require your attention.","%s produkt wymaga Twojej uwagi."
"%s products were added to your shopping cart.","Produkty %s zostały dodane do koszyka."
"%s was added to your shopping cart.","%s został dodany do Twojego koszyka."
"* Required Fields","* wymagane pola"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> produkty wymagają Twojej uwagi"
"Access denied.","Dostęp zabroniony."
"Action","Operacja"
"Add New Address","Dodaj nowy adres"
"Add Products","Dodaj produkty"
"Add Products By SKU","Dodaj produktu po SKU"
"Add Products to Order","Dodaj produkty do zamówienia"
"Add Row","Dodaj wiersz"
"Add Selected Product(s) to Shopping Cart","Dodaj wybrane produkty do koszyka"
"Add To Cart","Dodaj do koszyka"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Order","Dodaj do zamówienia"
"Add to Order by SKU","Dodaj do zamówienia po SKU"
"Add to Shopping Cart","Dodaj do koszyka"
"Add to Shopping Cart by SKU","Dodaj do koszyka po SKU"
"Add to Wishlist","Dodaj do listy życzeń"
"Additional Product Info","Dodatkowe informacje o produkcie"
"Address","Adres"
"Address %s of %s","Adres %s z %s"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Dozwolony typ plików: csv.<br/>Plik musi zawierać dwie kolumny w wierszu nagłówka: ""sku"" oraz ""ilość""."
"Already registered?","Masz już konto?"
"An error has occurred. See error log for details.","Wystąpił błąd. Sprawdź dziennik błędów, by uzyskać szczegółowe informacje."
"Apply","Zastosuj"
"Apply Coupon","Zastosuj kupon"
"Apply Coupon Code","Zastosuj kod kuponu"
"Are you sure you want to delete all items from shopping cart?","Czy na pewno chcesz usunąć wszystkie przedmioty z koszyka?"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"Availability: Out of stock.","Dostępność: brak."
"Back","Powrót"
"Back to Billing Information","Wróć do informacji o płatności"
"Back to Select Addresses","Wróć do wyboru adresów"
"Back to Shipping Information","Wróć do informacji o dostawie"
"Back to Shopping Cart","Wróć do koszyka"
"Based on your selection, you may be interested in the following items:","Biorąc pod uwagę Twój wybór, mogą cię interesować również następujące produkty:"
"Billing Address","Adres rozliczeniowy"
"Billing Information","Informacje rozliczeniowe"
"Cancel","Anuluj"
"Cancel Coupon","Anuluj kupon"
"Cannot add product","Nie można dodać produktu"
"Cannot configure product","Nie można skonfigurować produktu"
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Cart Subtotal:","Suma częściowa w koszyku:"
"Change","Zmień"
"Change Billing Address","Zmień adres rozliczeniowy"
"Checkout","Zamówienie"
"Checkout as Guest","Złóż zamówienie bez zakładania konta"
"Checkout as a Guest","Złóż zamówienie jako gość"
"Checkout as a Guest or Register","Złóż zamówienie jako gość lub załóż konto"
