"%s; rev #%s","%s; rev #%s"
"Access Level","Poziom dostępu"
"Add Node...","Dodawanie węzła..."
"Add Selected Page(s) to Tree","Dodawanie wybranych stron do drzewa"
"Add To Tree","Dodaj do drzewa"
"All Store Views","Wszystkie widoki sklepu"
"An error occurred while deleting revisions.","Wystąpił błąd podczas usuwania rewizji."
"An error occurred while deleting the revision.","Wystąpił błąd podczas usuwania rewizji."
"An error occurred while deleting the version.","Wystąpił błąd podczas usuwania wersji."
"An error occurred while deleting versions.","Wystąpił błąd podczas usuwania wersji."
"Anchor Custom Text","Własny tekst kotwicy"
"Anchor Custom Title","Własny tytuł kotwicy"
"Are you sure you want to copy the current hierarchy to the selected destinations?","Czy na pewno chcesz skopiować bieżącą hierarchię do wybranych miejsc docelowych?"
"Are you sure you want to delete current hierarchy?","Czy na pewno chcesz usunąć bieżącą hierarchię?"
"Are you sure you want to delete the selected hierarchies?","Czy na pewno chcesz usunąć wybrane hierarchie?"
"Are you sure you want to delete this revision?","Czy na pewno chcesz usunąć tę rewizję?"
"Are you sure?","Czy na pewno tego chcesz?"
"Author","Autor"
"Author:","Autor:"
"Both","Zarówno"
"CMS","CMS"
"CMS Content Wrapper","Wrapper zawartości CMS"
"CMS Hierarchy","Hierarchia stron CMS"
"CMS Hierarchy Node Link","Odnośnik do węzła w hierarchii CMS"
"CMS Hierarchy for","Hierarchia stron CMS dla"
"CMS Home Page","Strona główna CMS"
"CMS No-Route Page","Strona CMS Brak przekierowania"
"CMS Page Default Versioning","Domyślne wersjonowanie strony CMS"
"CMS Page Hierarchy","Hierarchia strony CMS"
"CMS Page Link Block Template","Szablon blokowy linku strony CMS"
"CMS Page Link Inline Template","Szablon liniowy linku strony CMS"
"CMS Page Trees","Drzewa stron CMS"
"CMS Pages","Strony CMS"
"CMS Pages (All)","Strony CMS (wszystkie)"
"CMS Versioning","Wersjonowanie CMS"
"Cancel","Anuluj"
"Cannot change version access level because it is the last public version for its page.","Nie można zmienić poziomu dostępu do wersji, bo to ostatnia publiczna wersja na stronie."
"Cannot change version access level because its revision is published.","Nie można zmienić poziomu dostępu do wersji, ponieważ jej zmiana jest opublikowana."
"Chapter","Rozdział"
"Chapter/Section","Rozdział/sekcja"
"Choose Revision","Wybierz zmiany"
"Choose Scope:","Wybierz zakres:"
"Choose Store View:","Wybierz widok sklepu:"
"Circle","Koło"
"Content","Zawartość"
"Copy","Kopia"
"Could not load specified revision.","Nie można załadować określonej rewizji."
"Could not load specified version.","Nie można załadować określonej wersji."
"Created","Utworzono"
"Created At","Utworzono"
"Created:","Utworzono:"
"Current Modification","Aktualne zmiany"
"Currently Published Revision","Obecnie opublikowana zmiana"
"Default","Domyślny"
"Default Layout for Hierarchy Menu","Domyślny układ hierarchii menu"
"Defines this node as Chapter/Section","Określa węzeł jako rozdział/sekcję"
"Delete","Usuń"
"Delete Current Hierarchy","Usuń bieżącą hierarchię"
"Delete Multiple Hierarchies","Usuń wiele hierarchii"
"Delete Revision and Version","Usuwanie rewizji oraz wersji"
"Disabled by Default","Wyłączone domyślnie"
"Disc","Dysk"
"Edit Page '%s' New Revision","Strona edycji '%s' nowej rewizji"
"Edit Page '%s' Revision #%s","Edytuj stronę '%s' w rewizji #%s"
"Edit Page '%s' Version '%s'","Edytuj stronę '%s' w wersji '%s'"
"Edit Revision","Edytuj rewizję"
"Edit Version","Edytuj wersję"
"Enable Chapter/Section","Włącz rozdział/sekcję"
"Enable Hierarchy Functionality","Włącz funkcję hierarchii"
"Enable Hierarchy Metadata","Włącz metadanych hierarchii"
"Enable Pagination","Włącz podział na strony"
"Enabled by Default","Włączone domyślnie"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Zaznaczenie włącza funkcję rozdziału/sekcji dla tego węzła, jego węzłów podrzędnych oraz stron"
"Exclude from Navigation Menu","Wyłączyć z menu nawigacji"
"First","Pierwszy"
"Frame","Ramka"
"Frame Skip","Pomiń ramkę"
"Hierarchy","Hierarchia"
"How many Links to display at once","Ile linków wyświetlać na raz"
"If empty, will use the Node or Page Name","Jeśli puste, użyty zostanie węzeł lub nazwa strony"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Jeśli aktualna pozycja ramki nie pokrywa najwyższych stron, wyrenderuje link do aktualnej pozycji plus/minus ta wartość"
"Invalid Scope.","Nieprawidłowy zakres."
"Invalid node data.","Nieprawidłowe dane."
"Label for version is a required field.","Etykieta dla wersji jest polem wymaganym."
"Left Column","Lewa kolumna"
"Link to Specified CMS Hierarchy Node","Link do określonego węzła hierarchii CMS"
"List Style","Styl listy"
"List Type","Typ listy"
"Lower Alpha (a, b, c, ...)","Małe znaki alfanumeryczne (a, b, c, ...)"
"Lower Roman (i, ii, iii, ...)","Małe cyfry rzymskie (i, ii, iii, ...)"
"Main Navigation Menu Options","Opcje głównego menu nawigacyjnego"
"Manage Content","Zarządzaj treścią"
"Manage Hierarchies","Zarządzaj hierarchiami"
"Manage Hierarchy","Zarządzaj hierarchią"
"Manage Pages Hierarchy","Zarządzaj hierarchią stron"
"Maximal Depth","Maksymalna głębokość"
"Menu Detalization","Poziom szczegółowości menu"
"Menu Layout","Układ menu"
"N/A","N/D"
"Neighbours and Children","Sąsiedzi i dzieci"
"New Page","Nowa strona"
"New Revision","Nowa rewizja"
"New Revision...","Nowa rewizja..."
"Next","Następne"
"Next/Previous","Następny/Poprzedni"
"No","Nie"
"No Nodes available","Brak dostępnych węzłów"
"No preview available","Podgląd niedostępny"
"Node","Węzeł"
"Node Levels to Include","Poziomy węzła do uwzględnienia"
"Node Properties","Właściwości węzła"
"Node with same URL Key already exists.","Węzeł z tym samym kluczem URL już istnieje."
"Not Selected","Nie wybrano"
"Numbers (1, 2, 3, ...)","Numery (1, 2, 3,...)"
"Only Children","Tylko dzieci"
"Ordered","Zamówiony"
"Owner","Właściciel"
"Page ID","Identyfikator strony"
"Page Navigation Menu Options","Opcje menu nawigacji strony"
"Page Properties","Właściwości strony"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","Blokada strony wygaśnie w ciągu 60 sekund. Zapisz zmiany, aby uniknąć możliwości utraty danych."
"Page:","Strona:"
"Pages","Strony"
"Pages Hierarchy","Hierarchia stron"
"Pages hierarchy has been copied to the selected scopes.","Hierarchia stron została skopiowana do wybranych zakresów."
"Pages hierarchy has been deleted from the selected scopes.","Hierarchia stron została usunięta z wybranych zakresów."
"Pagination Options for Nested Pages","Opcje paginacji dla zagnieżdżonych stron"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Potwierdź proszę przełączenie strony. Wszystkie niezapisane dane zostaną utracone."
"Please select one or more destinations to copy the current hierarchy to","Proszę wybrać jedno lub więcej miejsc docelowych, do których chcesz skopiować bieżącą hierarchię"
"Please select one or more hierarchies to delete","Wybierz jedną lub więcej hierarchii do usunięcia"
"Please select revision(s).","Proszę wybrać rewizje."
"Please select version(s).","Wybierz wersje."
"Please select website or store view.","Proszę wybierz stronę lub widok sklepu."
"Preview","Podgląd"
"Previous","Poprzedni"
"Private","Prywatny"
"Protected","Chroniony"
"Public","Publiczny"
"Publish","Publikuj"
"Publish Revision","Opublikuj rewizję"
"Published","Opublikowany"
"Published Revision Unavailable","Opublikowana rewizja niedostępna"
"Remove From Tree","Usuń z drzewa"
"Render Metadata in HTML Head","Renderowanie metadanych w nagłówku HTML"
"Revision #","Zmiana #"
"Revision #%s","Rewizja #%s"
"Revision #%s could not be removed because it is published.","Rewizja #%s nie może zostać usunięta, gdyż została opublikowana."
"Revision Information","Informacje o rewizjach"
"Revisions Qty","Liczba rewizji"
"Right Column","Prawa kolumna"
"Root","Baza"
"Save","Zapisz"
"Save Revision and Version","Zapisz rewizję i wersję"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save and Publish","Zapisz i publikuj"
"Save as New Version","Zapisz jako nową wersję"
"Save in New Version...","Zapisz w nowej wersji..."
"Section","Sekcja"
"Select Page or Node...","Wybierz stronę lub węzeł..."
"Show in Navigation Menu","Pokaż w menu nawigacji"
"Single Hierarchy for All Store Views","Wspólna hierarchia dla wszystkich widoków sklepów"
"Specific Hierarchy for Each Store View","Określ hierarchię dla każdego widoku sklepu"
"Specify New Version Name (required)","Określ nową nazwę wersji (wymagane)"
"Square","Plac"
"Template","Szablon"
"The hierarchy has been saved.","Hierarchia została zapisana."
"The new version has been created.","Nowa wersja została utworzona."
"The revision has been deleted.","Rewizja została usunięta."
"The revision has been published.","Rewizja została opublikowana."
"The revision has been saved.","Zmiany zostały zapisane."
"The version has been deleted.","Wersja została usunięta."
"The version has been saved.","Wersja została zapisana."
"There are unsaved node data. Are you sure you want to proceed?","Istnieją niezapisane dane węzła. Czy na pewno chcesz kontynuować?"
"There has been an error copying hierarchy.","Nastąpił błąd kopiowania hierarchii."
"There has been an error deleting hierarchy.","Nastąpił błąd usuwania hierarchii."
"There has been an error saving hierarchy.","Nastąpił błąd podczas zapisywania hierarchii."
"This Page Belongs To","Ta strona należy do"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Ta strona nie może zostać dodana ponieważ węzeł lub strona z tym samym kluczem URL już istnieje w tej części drzewa."
"Title","Tytuł"
"Total of %d record(s) have been deleted","Usunięto %d wpis(ów)"
"Total of %d record(s) have been deleted.","Usunięto %d wpis(ów)."
"Tree Viewed","Wyświetlone drzewo"
"URL Key","Klucz URL"
"Unable to find a revision to delete.","Nie można znaleźć wersji do usunięcia."
"Unable to find a version to delete.","Nie można znaleźć wersji do usunięcia."
"Under Version Control","Pod kontrolą wersji"
"Unordered","Nieuporządkowana"
"Update","Aktualizuj"
"Upper Alpha (A, B, C, ...)","Duże znaki alfanumeryczne (A, B, C, ...)"
"Upper Roman (I, II, III, ...)","Duże cyfry rzymskie (I, II, III, ...)"
"Use Parent","Użyj rodzica"
"Use Parent Node\'s Hierarchy","Użyj hierarchii rodzica węzła"
"Use default","Użyj domyślnego"
"Version ""%s"" could not be removed because it is the last public version for its page.","Wersja ""%s"" nie może zostać usunięta ponieważ jest ostatnią publiczną wersją tej strony."
"Version ""%s"" could not be removed because its revision has been published.","Wersja ""%s"" nie może zostać usunięta ponieważ jej rewizja została opublikowana."
"Version #","Wersja #"
"Version Control","Kontrola wersji"
"Version Information","Informacje o wersji"
"Version Label","Wersja etykiety"
"Version Revisions","Wersja poprawek"
"Version:","Wersja:"
"Versions","Wersje"
"Website Root","Strona bazowa"
"Yes","Tak"
"You should specify valid name","Należy określić prawidłową nazwę"
"[No Owner]","[Brak właściciela]"
