"* Required Fields","* wymagane pola"
"-- Please Select --","-- Prosimy wybrać --"
"Account Information","Dane konta"
"Add New Address","Dodaj nowy adres"
"Add New Attribute","Dodaj nową cechę"
"Additional Address Entries","Dodatkowe adresy"
"Address","Adres"
"Address Book","Książka adresowa"
"Address Information","Informacje o adresie"
"Admin Checkout","Admin Checkout"
"All Themes","Wszystkie motywy"
"An error occurred while deleting the customer address attribute.","Wystąpił błąd podczas usuwania cechy adresu klienta."
"An error occurred while deleting the customer attribute.","Wystąpił błąd podczas usuwania cechy klienta."
"An error occurred while deleting the form type.","Wystąpił błąd podczas usuwania typu formularza."
"An error occurred while saving the customer address attribute.","Wystąpił błąd podczas zapisywania cechy adresu klienta."
"An error occurred while saving the customer attribute.","Wystąpił błąd podczas zapisywania cechy klienta."
"An error occurred while saving the form type.","Wystąpił błąd podczas zapisywania typu formularza."
"Are you sure you want to delete this address?","Czy na pewno chcesz usunąć ten adres?"
"Attribute Information","Informacje cechy"
"Attribute is no longer exists.","Atrybut już nie istnieje."
"Attribute with the same code already exists","Cecha o podanym kodzie już istnieje"
"Attributes","Cechy"
"Back","Powrót"
"Back to Login","Powrót do logowania"
"Based On","Bazujący na"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Zakładając konto w naszym sklepie będzie można przejść przez proces zamówienia dużo szybciej, przechowywać wiele adresów dostawy, śledzić statusy zamówień i korzystać z dodatkowych funkcji."
"Cancel","Anuluj"
"Change Billing Address","Zmień adres rozliczeniowy"
"Change Password","Zmień hasło"
"Change Shipping Address","Zmień adres dla dostawy"
"City","Miasto"
"Comma separated","Oddzielone przecinkami"
"Company","Firma"
"Confirm New Password","Potwierdź nowe hasło"
"Confirm Password","Potwierdź hasło"
"Contact Information","Informacje kontaktowe"
"Country","Kraj"
"Create an Account","Utwórz konto"
"Current Password","Bieżące hasło"
"Customer","Klient"
"Customer Account Address","Adres konta klienta"
"Customer Account Edit","Edycja konta klienta"
"Customer Account Edit Form","Formularz edycji konta klienta"
"Customer Account Login Form","Formularz logowania klienta"
"Customer Account Logout Success","Pomyślne wylogowanie klienta"
"Customer Account Registration Form","Formularz rejestracji konta klienta"
"Customer Address Registration","Rejestracja adresu klienta"
"Customer Checkout Register","Rejestr transakcji klienta"
"Customer Forgot Password Form","Formularz zapomnianego hasła klienta"
"Customer My Account (All Pages)","Moje konto (wszystkie strony)"
"Customer My Account Address Book","Moje konto - książka adresowa"
"Customer My Account Address Edit Form","Moje konto - formularz edycji adresu"
"Customer My Account Dashboard","Moje konto - panel"
"Customer Registration","Rejestracja klienta"
"DD","DD"
"Date of Birth","Data urodzenia"
"Day","Dzień"
"Default Addresses","Domyślne adresy"
"Default Billing Address","Podstawowy adres rozliczeniowy"
"Default Shipping Address","Domyślny adres dostawy"
"Default Values","Wartości domyślne"
"Delete Address","Usuń adres"
"Delete Attribute","Usuń cechę"
"Edit","Edytuj"
"Edit Account Information","Edytuj informacje o koncie"
"Edit Address","Edytuj adres"
"Edit Address Entry","Edytuj wpis adresu"
"Edit Customer Address Attribute","Edytuj atrybut adres klienta"
"Edit Customer Address Attribute ""%s""","Edytuj atrybut adresu klienta ""%s"""
"Edit Customer Attribute","Edytuj cechę klienta"
"Edit Customer Attribute ""%s""","Edycja atrybutu klienta ""%s"""
"Edit Form Type ""%s""","Edytuj formularz typu ""%s"""
"Edit Newsletters","Edycja newsletterów"
"Email Address","Adres e-mail"
"Fax","Faks"
"File Extensions","Rozszerzenia plików"
"For Theme","Dla motywu"
"Forgot Your Password?","Nie pamiętasz hasła?"
"Form Code","Kod formularza"
"Form Fields Before","Przed polami formularza"
"Form Label","Etykieta formularza"
"Form Title","Tytuł formularza"
"Form Type Code","Formularz typu kodu"
"Form Type Information","Formularz typu informacji"
"Form type has been deleted.","Typ formularza został usunięty."
"Forms to Use In","Formularze do wykorzystania w"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","W Panelu swojego konta możesz podejrzeć swoją ostatnią aktywność oraz zaktualizować dane konta. Wybierz poniższy link, aby przejrzeć lub zmienić dane."
"Frontend Properties","Właściwości interfejsu klienta"
"General","Ogólne"
"General Information","Informacje ogólne"
"General Subscription","Ogólny newsletter"
"Go back","Powrót"
"Hello, %s!","Witaj, %s!"
"If you have an account with us, log in using your email address.","Jeśli masz konto w naszym sklepie, zaloguj się przy użyciu swojego adresu e-mail."
"Input Type","Typ pola"
"Input Validation","Sprawdzanie poprawności danych wejściowych"
"Input/Output Filter","Filtr wejścia/wyjścia"
"Label","Etykieta"
"Lines Count","Liczba linii"
"Login","Logowanie"
"Login Information","Informacje o logowaniu"
"Login or Create an Account","Zaloguj się lub utwórz konto"
"MM","MM"
"Manage Addresses","Zarządzaj adresami"
"Manage Customer Address Attributes","Zarządzanie cechami adresu klienta"
"Manage Customer Attributes","Zarządzanie atrybutami klienta"
"Manage Form Types","Zarządzanie rodzajami formularzy"
"Manage Label / Options","Zarządzaj Etykietami/opcjami"
"Maximum File Size (bytes)","Maksymalny rozmiar pliku (bajty)"
"Maximum Image Height (px)","Maksymalna wysokość obrazu (px)"
"Maximum Image Width (px)","Maksymalna szerokość obrazu (px)"
"Maximum Text Length","Maksymalna długość tekstu"
"Maximum value","Maksymalna wartość"
"Minimal value","Minimalna wartość"
"Minimum Text Length","Minimalna długość  tekstu"
"Month","Miesiąc"
"My Account Wrapper","Wrapper mojego konta"
"My Dashboard","Mój panel"
"New Address Entry","Nowy wpis adresu"
"New Attribute","Nowa cecha"
"New Customer Address Attribute","Nowy atrybut adresu klienta"
"New Customer Attribute","Nowy atrybut klienta"
"New Customers","Nowi klienci"
"New Fieldset","Nowy zestaw pól"
"New Form Type","Nowy typ formularza"
"New Password","Nowe hasło"
"Newsletter Subscription","Subskrypcja newsletter'a"
"Newsletters","Newslettery"
"No","Nie"
"None","Brak"
"Password","Hasło"
"Personal Information","Dane osobiste"
"Please enter your email address below. You will receive a link to reset your password.","Prosimy podać swój adres e-mail poniżej. Otrzymasz link do zresetowania hasła."
"Please enter your email below and we will send you the confirmation link for it.","Proszę o wprowadzenie Twojego adresu e-mail, na ten adres przesłany zostanie link potwierdzający."
"Please select region, state or province","Wybierz województwo"
"Properties","Właściwości"
"Register","Złóż zamówienie zakładając jednocześnie konto"
"Registered Customers","Zarejestrowani klienci"
"Remove","Usuń"
"Reset a Password","Resetuj hasło"
"Save","Zapisz"
"Save Address","Zapisz adres"
"Save Attribute","Zapisz cechę"
"Save Password","Zapisz hasło"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Send confirmation link","Wyślij link potwierdzający"
"Show on Frontend","Pokaż w sklepie"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"Sort Order","Kolejność sortowania"
"State/Province","Województwo:"
"Store Credit","Kredyt w sklepie"
"Store View","Widok sklepu"
"Street Address","Adres pocztowy"
"Street Address %s","Adres pocztowy %s"
"Submit","Prześlij"
"System","System"
"System form type cannot be deleted.","Typ formularza systemu nie może zostać usunięty."
"Telephone","Telefon"
"The customer address attribute has been deleted.","Usunięto atrybut adres klienta."
"The customer address attribute has been saved.","Atrybut adres klienta został zapisany."
"The customer attribute has been deleted.","Usunięto atrybut klienta."
"The customer attribute has been saved.","Atrybut klienta został zapisany."
"This is My Default %s Address","To jest mój domyślny adres %s"
"To use this attribute in address template you should edit it here.","W celu użycia tego atrybutu w szablonie adres należy edytować go w tym miejscu."
"Use Store Credit (%s available)","Wykorzysta kredyt sklepowy (dostępne %s)"
"Use as My Default %s Address","Użyj jako domyślnego adresu %s"
"Use as my default billing address","Użyj jako domyślnego adresu rozliczeniowego"
"Use as my default shipping address","Użyj jako domyślnego adresu dostawy"
"Use helper with defined EAV entity","Użyj pomocy ze zdefiniowaną jednostką EAV"
"VAT Number","Numer NIP (VAT UE)"
"Valid range 2-20","Prawidłowy zakres 2-20"
"Visible on Frontend","Widoczne w sklepie"
"YYYY","RRRR"
"Year","Rok"
"Yes","Tak"
"You are currently not subscribed to any newsletter.","Aktualnie nie subskrybujesz żadnego newslettera."
"You are currently subscribed to 'General Subscription'.","Jesteś zapisany na ogólny newsletter w naszym sklepie."
"You are currently subscribed to our newsletter.","Jesteś już zapisany na newsletter w naszym sklepie."
"You cannot delete this attribute.","Nie można usunąć tego atrybutu."
"You cannot edit this attribute.","Nie można edytować tego atrybutu."
"You have no additional address entries in your address book.","Nie masz innych wpisów w swojej książce adresowej."
"You have no default billing address in your address book.","Nie masz podstawowego adresu płatnika w książce adresowej."
"You have no default shipping address in your address book.","Nie masz podstawowego adresu wysyłki w książce adresowej."
"Zip/Postal Code","Kod pocztowy"
