"Action","Operacja"
"Additional information","Informacje dodatkowe"
"An amount on which to change the balance","Kwota zmiany bilansu"
"Balance","Bilans"
"Balance Change","Zmiana bilansu"
"Balance History","Historia bilansu"
"Balance history cannot be saved without existing balance.","Nie można zapisać historii bilansu bez bieżącego bilansu."
"By admin: %1$s. (%2$s)","Przez Administratora: %1$s. (%2$s)"
"By admin: %s.","Przez Administratora: %s."
"Comment","Komentarz"
"Created","Utworzono"
"Customer Balance","Bilans klienta"
"Customer Balance API","API bilansu klienta"
"Customer Balance for Quote API","API zapytań o bilans klienta"
"Customer ID must be specified.","Wymagane ID klienta."
"Customer My Account Store Credit","Kredyt kupiecki klienta w panelu Moje Konto"
"Customer balance","Bilans klienta"
"Customer is not set or does not exist.","Klient nie jest skonfigurowany lub nie istnieje."
"Customer notified?","Klient powiadomiony?"
"Date","Data"
"Delete Orphan Balances","Usuń bilans sierot"
"Enable Store Credit Functionality","Włącz kredyt kupiecki"
"Failed to initialize customer","Nie można zainicjować klienta"
"In order to send email notification, the Store ID must be set.","Aby wysłać powiadomienia e-mail, należy ustawić identyfikator sklepu."
"No","Nie"
"Not enough Store Credit Amount to complete this Order.","Zbyt niski kredyt kupiecki, by złożyć to zamówienie."
"Notified","Powiadomiony"
"Notify Customer by Email","Powiadom klienta przez e-mail"
"Order #%s","Zamówienie nr %s"
"Order #%s, creditmemo #%s","Zamówienie nr%s, notatka nr%s"
"Please set store ID as well.","Ustaw również ID sklepu."
"Refund Money to Store Credit","Zwrot pieniędzy na konto kredytu kupieckiego"
"Refund Store Credit Automatically","Zwróć kredyt kupiecki automatycznie"
"Refund Store Credit to Store Credit","Zwrócony kredyt kupiecki będzie przechowywany w kredycie kupieckim"
"Refund to Store Credit","Zwrot na konto kredytu kupieckiego"
"Refunded","Zwrócono"
"Refunded to Store Credit","Zwrócono na konto kredytu kupieckiego"
"Remove","Usuń"
"Retrieve balance amount","Pobierz kwotę salda"
"Retrieve balance history","Pobierz historię bilansu"
"Retrieve customer store credit balance information","Pobierz informację o kredycie kupieckim klienta"
"Retrieve customer store credit history information","Pobierz historię kredytu kupieckiego klienta"
"Reverted","Odwrócony"
"Send Email Notification From the Following Store View","Wyślij powiadomienie e-mail z następującego widoku sklepu"
"Send Email from the Following Store View","Wyślij e-mail z następujacego widoku sklepu"
"Set","Ustaw"
"Show Store Credit History to Customers","Pokaż klientom historię kredytu kupieckiego"
"Store Credit","Kredyt w sklepie"
"Store Credit (%s)","Kredyt kupiecki (%s)"
"Store Credit Balance","Saldo kredytu kupieckiego"
"Store Credit Balance and History Wrapper","Saldo i historia kredytu kupieckiego"
"Store Credit Options","Opcje kredytu kupieckiego"
"Store Credit Update","Aktualizacja kredytu kupieckiego"
"Store Credit Update Email Sender","Nadawca wiadomości e-mail o aktualizacji kredytu kupieckiego"
"Store Credit Update Email Template","Szablon wiadomości e-mail o aktualizacji kredytu kupieckiego"
"Store Credit payment is not being used in your shopping cart.","Nie wykorzystujesz kredytu kupieckiego w Twoim koszyku."
"Store credit amount cannot exceed order amount.","Kwota kredytu kupieckiego nie może przekroczyć kwoty zamówienia."
"The store credit payment has been removed from shopping cart.","Płatność kredytem kupieckim została usunięta z koszyka."
"There is no creditmemo set to balance model.","Brak noty kredytowej przypisanej do modelu wyliczania sumy koszyka."
"There is no order set to balance model.","Brak zamówienia przypisanego do modelu wyliczania sumy koszyka."
"Unknown balance history action code","Nieznany kod czynności historii salda"
"Update Balance","Aktualizacja salda"
"Updated","Zaktualizowano"
"Use Store Credit","Użyj kredytu kupieckiego"
"Use Store Credit (%s available)","Wykorzysta kredyt sklepowy (dostępne %s)"
"Used","Wykorzystane"
"Website","Witryna"
"Website ID must be set.","Należy ustawić ID witryny."
"Your current balance is:","Twój aktualny bilans:"
"available","dostępne"
