"%s Purchased Quantity %s %s while %s of these Conditions match:","%s zakupiona ilość %s %s kiedy %s z tych warunków pasuje:"
"%s Sales Amount %s %s while %s of these Conditions match:","%s wartość sprzedaży %s %s kiedy %s z tych warunków pasuje:"
"* Could be applied both for visitors and registered customers","* Ma zastosowaniezarówno do Gości i zarejestrowanych klientów"
"Active","Aktywny"
"Add Segment","Dodaj segnemt"
"Address Attributes","Cechy adresu"
"Address Type","Typ adresu"
"All","Wszystko"
"Any","Dowolny"
"Applies to All of the Specified Customer Segments","Odnosi się do wszystkich wyszczególnionych segmantów kienckich"
"Apply To","Zastosuj do"
"Apply to the Selected Customer Segments","Zastosuj do wybranych segmentów klienckich"
"Assigned to Website","Przypisane do witryny"
"Average","Średnia"
"Back","Powrót"
"Billing","Rozliczenie"
"CSV","CSV"
"Conditions","Warunki"
"Conditions Combination","Kombinacja warunków"
"Country","Kraj"
"Customer","Klient"
"Customer %s","Klient %s"
"Customer Address","Adres klienta"
"Customer Address %s","Adres klienta %s"
"Customer Address %s Default %s Address","Adres klienta %s Domyślny %s adres"
"Customer Segment","Segment kliencki"
"Customer Segment Report","Raport o segmencie klienckim"
"Customer Segment Report \'%s\'","Raport o segmencie klienckim \%s\"
"Customer Segment data has been refreshed.","Dane o segmentch klienckich zostały odświeżone."
"Customer Segments","Segmenty klienckie"
"Customer Segments Report","Raport o segmentach klienckich"
"Customer Since","Klient od"
"Customer Store Credit Amount %s %s:","Saldo kredytu kupieckiego klienta %s %s:"
"Customer is %s to newsletter.","Klient jest %s do newslettera."
"Customers","Klienci"
"Date Range","Zakres dat"
"Date Range %s within %s","Zakres dat %s w %s"
"Date Ranges","Zakresy dat"
"Default Address","Domyślny adres"
"Description","Opis"
"Details","Szczegóły"
"Edit Segment","Edytuj Segment"
"Edit Segment '%s'","Edytuj Segment '%s'"
"Email","E-mail"
"Enable Customer Segment Functionality","Włącz funkcję segmentacji klienckiej"
"Excel XML","Excel XML"
"General Properties","Ogólne właściwości"
"Gift Card","Karta podarunkowa"
"Grand Total","Łącznie"
"Group","Grupa"
"Has State/Province","Ma województwo"
"ID","ID"
"If Customer Address %s State/Province specified","Jeśli w adresie klienta %s jest określone województwo"
"If Customer Addresses match %s of these Conditions:","Jeśli adres klienta spełnia %s z warunków:"
"If Customer Segment %s %s","Jeśli segment kliencki %s %s"
"If Order Addresses match %s of these Conditions:","Jeśli adresy zamówienia spełniają %s z warunków:"
"If Product %s %s and matches %s of these Conditions:","Jeśli produkt %s %s i spełnia %s z warunków:"
"If Product is %s in the %s with %s of these Conditions match:","Jeśli produkt jest %s w %s z %s z warunków:"
"Inactive","Nieaktywny"
"Intersection","Część wspólna"
"Manage Segments","Zarządzaj segmentami"
