"""Email"" is not a valid email address.","Podany adres e-mail jest nieważny."
"%d email(s) were sent.","Wysłano: %d wiadomości e-mail."
"%d item(s) have been added to gift registry.","%d elementów zostało dodanych do rejestru prezentów."
"%s","%s"
"* Required Fields","* wymagane pola"
"-- All --","--Wszystkie--"
"-- Please select --","--Wybierz--"
"Action","Operacja"
"Actions","Operacje"
"Active","Aktywny"
"Add All To Gift Registry ","Dodaj wszystko do rejestru prezentów"
"Add All to Cart","Dodaj wszystko do koszyka"
"Add Attribute","Dodaj cechę"
"Add Gift Registry Type","Dodaj typ rejestru prezentów"
"Add New","Dodaj nowe"
"Add New Option","Dodaj nową opcję"
"Add Recipient","Dodaj odbiorcę"
"Add To:","Dodaj do:"
"Add to Cart","Dodaj do koszyka"
"Add to Gift Registry","Dodaj do rejestru prezentów"
"Added On","Dodane"
"Adding more than one attribute with the same static input type is not allowed for the same gift registry type. Please select another input type for your attribute.","Dodanie więcej niż jednej cechy z tym samym statycznym typem danych wejściowych jest niedozwolone w ramach jednego typu rejestru. Wybierz inny typ danych wejściowych dla swojej cechy."
"Address","Adres"
"Address is empty.","Adres jest pusty."
"All Forms","Wszystkie formularze"
"An error occurred while deleting gift registry.","Wystąpił błąd podczas usuwania rejestru prezentów."
"An error occurred while editing gift registry.","Wystąpił błąd podczas edytowania rejestru prezentów."
"An error occurred while sending email(s).","Wystąpił błąd podczas wysyłania wiadomości e-mail."
"An error occurred while sharing gift registry.","Wystąpił błąd podczas współdzielenia rejestru prezentów."
"An item option with code %s already exists.","Opcja produktu z kodem %s już istnieje."
"Are you sure you want to add these products?","Czy jesteś pewien, że chcesz dodać te produkty?"
"Are you sure you want to delete this gift registry?","Czy na pewno chcesz usunąć ten rejestr prezentów?"
"Are you sure you want to remove this product from your wishlist?","Czy na pewno chcesz usunąć wszystkie przedmioty ze schowka?"
"Attribute Group","Grupa cech"
"Attributes","Cechy"
"Back","Powrót"
"Cannot add item to shopping cart","Nie można dodać produktu do koszyka"
"Cannot specify product.","Nie można ustalić produktu."
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","Zmiana ilości w rejestrze prezentów nie jest dozwolona podczas realizacji transakcji. Możesz zmienić ilość pozycji na stronie informacji rejestru prezentów lub bezpośrednio w Twoim koszyku."
"City","Miasto"
"Code","Kod"
"Comment","Komentarz"
"Company","Firma"
"Country","Kraj"
"Create Gift Registry","Utwórz rejestr prezentów"
"Created On","Utworzono"
"Created on","Utworzono"
"Custom Types","Typy niestandardowe"
"Customer My Account GiftRegistry Add","Customer My Account GiftRegistry Add"
"Customer My Account GiftRegistry Edit","Customer My Account GiftRegistry Edit"
"Customers","Klienci"
"Customize and Add to Gift Registry","Dostosuj i dodaj do rejestru prezentów"
"Date","Data"
"Date Format","Format daty"
"Default Template","Domyślny szablon"
"Delete","Usuń"
"Delete Attribute","Usuń cechę"
"Delete Option","Usuń opcję"
"Delete Registry","Usuń rejestr"
"Deleting this gift registry type will also remove all customers' gift registries created based on it. Are you sure you want to proceed?","Usunięcie tego typu rejestru prezentów spowoduje usunięcie wszystkich niestandardowych rejestrów na nim opartych. Czy na pewno chcesz kontynuować?"
"Edit","Edytuj"
"Edit '%s' Gift Registry","Edycja rejestru prezentów '%s'"
"Edit '%s' Gift Registry Type","Edytuj typ rejestru prezenów '%s'"
"Edit Gift Registry","Edytuj rejestr prezentów"
"Edit Type","Edytuj typ"
"Email Address","Adres e-mail"
"Email Address:","Adres e-mail:"
"Email Sender","Nadawca"
"Email Template","Szablon e-mail"
"Email:","E-mail:"
"Emails","E-maile"
"Enable Gift Registry","Włącz rejestr prezentów"
"Enter at least two letters","Wprowadź co najmniej dwie litery"
"Enter at least two letters of the name","Wprowadź co najmniej dwie litery z nazwy"
"Event","Wydarzenie"
"Event Country","Kraj wydarzenia"
"Event Date","Data wydarzenia"
"Event Information","Informacje o wydarzeniu"
"Event Location","Miejsce wydarzenia"
"Event Region Id","ID regionu wydarzenia"
"Event Region Text","Tekst regionu wydarzenia"
"Failed to add shopping cart items to gift registry.","Nie udało się dodać produktów z koszyka do rejestru prezentów."
"Failed to add wishlist items to gift registry.","Nie udało się dodać produktów ze schowka do rejestru prezentów."
"Failed to delete gift registry entity.","Nie udało się usunąć rejestru prezentów."
"Failed to delete gift registry type.","Nie udało się usunąć typu rejestru prezentów."
"Failed to save gift registry type.","Nie udało się zapisać typu rejestru prezentów."
"Failed to save gift registry.","Nie udało się zapisać rejestru prezentów."
"Failed to send %1$d of %2$d email(s).","Nie udało się wysłać %1$d z %2$d wiadomości e-mail."
"Failed to share gift registry.","Nie udało się udostępnić rejestru prezentów."
"Failed to update gift registry items list.","Nie udało się zaktualizować listy rejestru prezentów."
"Failed to update gift registry items.","Nie udało się zaktualizować zawartości rejestru prezentów."
"Fax","Faks"
"First Name","Imię"
"First Name:","Imię:"
"From","Od"
"Fulfilled","Wypełniony"
"Fulfilled Quantity","Spełniona ilosć"
"Full","Pełne"
"General Information","Informacje ogólne"
"General Options","Opcje ogólne"
"Gift Registry","Rejestr prezentów"
"Gift Registry Entity","Element rejestru prezentów"
"Gift Registry ID","ID rejestru prezentów"
"Gift Registry ID Search","Wyszukiwarka ID rejestru prezentów"
"Gift Registry Info","Informacja o rejestrze prezentów"
"Gift Registry Items","Produkty w rejestrze prezentów"
"Gift Registry Items Updated","Zaktualizowane zawartość rejestru prezentów"
"Gift Registry Owner Notification","Powiadomienie dla właściciela rejestru prezentów"
"Gift Registry Properties","Właściwości rejestru prezentów"
"Gift Registry Quick Search Form","Formularz szybkiego wyszukiwania rejestru prezentów"
"Gift Registry Search","Wyszukiwanie rejestru prezentów"
"Gift Registry Section","Sekcja rejestru prezentów"
"Gift Registry Sharing","Udostępnienie rejestru prezentów"
"Gift Registry Type","Typ rejestru prezentów"
"Gift Registry Update","Aktualizacja rejestru prezentów"
"Gift Registry has no items.","Rejestr prezentów nie zawiera żadnych elementów."
"Gift registry has been deleted.","Rejestr prezentów został usunięty."
"Gift registry has been successfully saved.","Rejestr prezentów został pomyślnie zapisany."
"Gift registry items have been updated.","Zawartość rejestru prezentów została zaktualizowana."
"Go","Przejdź"
"ID","ID"
"Inactive","Nieaktywny"
"Incorrect Type.","Niepoprawny typ."
"Incorrect address selected.","Niepoprawny adres."
"Incorrect gift registry type.","Niepoprawny typ rejestru prezentów."
"Incorrect recipient data.","Niepoprawne dane odbiorcy."
"Input Type","Typ pola"
"Invalid item option format.","Nieprawidłowy format opcji elementu."
"Invalid product for adding item to quote.","Invalid product for adding item to quote."
"Is Default","Jest domyślny"
"Is Listed","Znajduje się na liście"
"Is Public","Jest publiczny"
"Is Required","Jest wymagane"
"Is Searcheable","Jest wyszukiwalne"
"Items Fulfilled","Wypełnione elementy"
"Items Remaining","Pozostałe elementy"
"Label","Etykieta"
"Last Name","Nazwisko"
"Last Name:","Nazwisko:"
"Location","Lokalizacja"
"Long","Długie"
"Manage Customers","Zarządzaj klientami"
"Manage Gift Registry Types","Zarządzaj typen rejestru prezentów"
"Manage Items","Zarządzaj produktami"
"Max Emails Allowed to be Sent at One Time","Maksymalna liczba wiadomości e-mail wysłanych jednocześnie"
"Max Recipients Limit","Maksymalna liczba odbiorców wiadomości"
"Maximum %d email addresses allowed.","Dopuszczalne maksymalnie %d adresów e-mail."
"Maximum %d recipients allowed.","Dopuszczalne maksymalnie %d odbiorców."
"Medium","Średni"
"Message","Wiadomość"
"Message:","Wiadomość:"
"My Wishlist","Mój schowek"
"Name","Nazwa"
"Name:","Imię:"
"New Address","Nowy adres"
"New Gift Registry Type","Nowy typ rejestru prezentów"
"New Type","Nowy typ"
"Next","Następne"
"No","Nie"
"No address selected.","Nie wybrano adresu."
"None","Brak"
"Note","Notatka"
"Nothing to add to gift registry.","Nic do dodania do rejestru prezentów."
"Out of stock","Brak w magazynie"
"Owner","Właściciel"
"Owner Notification","Powiadomienie właściciela"
"Please Select","Wybierz"
"Please add rows to option.","Dodaj rzędy do opcji."
"Please enter at least 2 letters of the first name.","Podaj co najmniej 2 litery imienia."
"Please enter at least 2 letters of the last name.","Podaj co najmniej 2 litery nazwiska."
"Please enter at least 2 letters.","Podaj co najmniej 2 litery."
"Please enter correct ""%s"".","Wprowadź poprawne ""%s""."
"Please enter correct Privacy setting.","Wprowadź poprawne ustawienia prywatności."
