"Action","Operacja"
"Add Gift Wrapping","Dodaj opakowanie prezentu"
"Add Printed Card","Dodawanie karty drukowanej"
"Allow Gift Receipt","Umożliwia otrzymanie pokwitowania za prezent"
"Allow Gift Wrapping for Order Items","Umżżiwia zapakowanie na prezent zamówionego produktu"
"Allow Gift Wrapping on Order Level","Zezwól na opakowania na prezent na poziomie zamówienia"
"Allow Printed Card","Zezwól na drukowane karty"
"An error occurred while updating the wrapping(s) status.","Wystąpił błąd podczas aktualizowania stanu opakowania na prezent."
"Are you sure you want to delete the selected gift wrappings?","Czy na pewno chcesz usunąć wybrane opakowania na prezent?"
"Are you sure you want to delete this gift wrapping?","Jesteś pewien, że chcesz usunąć te opakowanie?"
"Change status","Zmień status"
"Default Price for Printed Card","Domyślna cena drukowanej karty"
"Delete","Usuń"
"Design","Wygląd"
"Disabled","Wyłączone"
"Display Gift Wrapping Prices","Wyświetl ceny pakowania prezentów"
"Display Printed Card Prices","Wyświetlaj ceny kart drukowanych"
"Edit","Edytuj"
"Edit Gift Wrapping ""%s""","Edycja pakowania prezentów ""%s"""
"Enabled","Włączone"
"Excl. Tax","Bez podatku"
"Failed to save gift wrapping.","Nie udało się zapisać opakowania."
"Gift Wrapping","Opakowanie prezentu"
"Gift Wrapping Design","Projekt opakowania prezentu"
"Gift Wrapping Information","informacje o pakowaniu prezentów"
"Gift Wrapping for Items","Opakowania na prezent dla produktów"
"Gift Wrapping for Items (Excl. Tax)","Opakowania na prezent dla produktów (bez podatku)"
"Gift Wrapping for Items (Incl. Tax)","Opakowania na prezent dla produktów (z podatkiem)"
"Gift Wrapping for Order","Opakowania na prezent dla zamówienia"
"Gift Wrapping for Order (Excl. Tax)","Opakowania na prezent dla zamówienia (bez podatku)"
"Gift Wrapping for Order (Incl. Tax)","Opakowania na prezent dla zamówienia (z podatkiem)"
"Gift Wrapping for the Entire Order","Opakowanie na prezent dla całego zamówienia"
"ID","ID"
"Image","Obrazek"
"Image has not been uploaded.","Obraz nie został przesłany."
"Image was not uploaded.","Obraz nie została załadowany."
"Incl. Tax","Z podatkiem"
"Manage Gift Wrapping","Zarządzanie pakowaniem prezentów"
"New Gift Wrapping","Nowe opakowania prezentów"
"Please select","Proszę wybrać"
"Please select items.","Prosimy wybrać produkty."
"Price","Cena"
"Price Excl. Tax","Cena bez podatku"
"Price Incl. Tax","Cena z podatkiem"
"Printed Card","Karty drukowane"
"Printed Card (Excl. Tax)","Karty drukowane (bez podatku)"
"Printed Card (Incl. Tax)","Drukowane karty (z podatkiem)"
"Sales","Sprzedaże"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Send Gift Receipt","Wyślij pokwitowanie za prezent"
"Status","Status"
"Tax Class for Gift Options","Klasa podatku dla opcji prezent"
"The gift wrapping has been deleted.","Usunięto opakowanie na prezent."
"The gift wrapping has been saved.","Opakowanie na prezent zostało zapisane."
"Total of %d record(s) have been deleted.","Usunięto %d wpis(ów)."
"Total of %d record(s) have been updated.","Uaktualniono %d wpis(ów)."
"Upload File","Załaduj plik"
"Use Default Value","Użyj wartości domyślnej"
"Websites","Witryny"
"Wrong gift wrapping requested.","Zgłoszono niepoprawne pakowanie prezentu."
"You can leave a box blank if you don\'t wish to add a gift wrap for whole order","Możesz pozostawić boks pusty jeśli nie chcesz dodać wiadomości prezentowej dla całego zamówienia"
