"Action","Operacja"
"Change Index Mode","Zmień tryb indeksowania"
"Description","Opis"
"Enable Scheduled Cleanup","Włącz zaplanowane oczyszczanie"
"Frequency","Częstotliwość"
"Index","Indeks"
"Index Clean Schedule","Harmonogram czyszczenia indeksu"
"Index Management","Zarządzanie indeksem"
"Index Options","Opcje indeksu"
"Index mode","Tryb indeksu"
"Mode","Tryb"
"Never","Nigdy"
"Processing","Przetwarzam"
"Ready","Gotowe"
"Reindex Data","Przeindeksuj"
"Reindex Required","Wymagane przeindeksowanie"
"Scheduled","Zaplanowane"
"Start Time","Czas rozpoczęcia"
"Status","Status"
"Unable to save the cron expression.","Nie można zapisać wyrażenia cron."
"Update Required","Wymagana aktualizacja"
"Update on Save","Aktualizuj przy zapisie"
"Update when scheduled","Aktualizacja zgodnie z harmonogramem"
"Updated At","Zaktualizowano"
