"Action","Operacja"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
"Display in Suggested Terms","Wyświetlaj w sugerowanych frazach"
"Edit","Edytuj"
"Enable Search Recommendations","Włącz rekomendacje wyszukiwania"
"Enable Search Suggestions","Włącz podpowiedzi wyszukiwania"
"Enable Solr Engine for Catalog Navigation","Włącz silnik Solr dla nawigacji po katalogach"
"Engine autocommit","Automatyczne zatwierdzanie indeksowania przez silnik"
"Final commit","Ostateczne zatwierdzanie"
"ID","ID"
"Indexation Mode","Tryb indeksowania"
"MySql Fulltext","MySql Fulltext"
"No","Nie"
"Note: Enabling this option affects the performance.","Uwaga: Włączenie tej opcji wpływa na wydajność."
"Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed.","Uwaga: Tryb przyrostowego zatwierdzania wpływa na czas indeksowania, ale pozwala indeksować produkty, które mają być widoczne w widoku sklepu przed zakończeniem indeksacji."
"Number of Uses","Ilość zastosowań"
"Partial commit","Częściowe zatwierdzanie"
"Redirect","Przekierowanie"
"Related Search Terms","Podobne zapytania"
"Results","Rezultaty"
"Search Engine","Wyszukiwarka"
"Search Query","Fraza wyszukiwania"
"Search Recommendations Count","Liczba podpowiedzi wyszukiwania"
"Search Suggestions Count","Liczba podpowiedzi wyszukiwania"
"Show Results Count for Each Recommendation","Pokaż liczbę wyników dla każdej podpowiedzi"
"Show Results Count for Each Suggestion","Pokaż liczbę wyników dla każdej podpowiedzi"
"Solr","Solr"
"Solr Server Hostname","Solr serwer hosta"
"Solr Server Password","Solr hasło serwera"
"Solr Server Path","Solr ścieżka serwera"
"Solr Server Port","Solr port serwera"
"Solr Server Timeout","Solr maksymalny czas połączenia"
"Solr Server Username","Solr nazwa użytkownika serwera"
"Store","Sklep"
"Synonym For","Synonim dla"
"Test Connection","Przetestuj połączenie"
"Unable to perform search because of search engine missed configuration.","Nie można przeprowadzić wyszukiwania z powodu brakującej konfiguracji silnika wyszukiwania."
"Without starting and trailing slashes.","Bez początkowych i końcowych ukośników."
"Yes","Tak"
