"-- Please Select --","-- Prosimy wybrać --"
"Action","Operacja"
"Add URL Redirect","Dodaj adres URL przekierowania"
"An error occurred during deleting the redirect item.","Wystąpił błąd podczas usuwania przekierowania."
"An error occurred while saving the URL redirect.","Wystąpił błąd podczas zapisywania adresu przekierowania."
"Back","Powrót"
"Block Information","Informacje o bloku"
"Custom","Niestandardowe"
"Description","Opis"
"Edit","Edytuj"
"ID","ID"
"Index URL rewrites","Przekierowanie adresu URL"
"No","Nie"
"Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix""","Tylko znaki alfanumeryczne oraz ""_"" (podkreślenie) są dozwolonymi symbolami dla ""sufiksu adresu URL"""
"Options","Opcje"
"Permanent (301)","Stałe (301)"
"Priority for Duplicated URL Keys","Priorytet dla zduplikowanych kluczy URL"
"Redirect","Przekierowanie"
"Redirect Rules","Zasady przekierowania"
"Redirect Type","Typ przekierowania"
"Redirect URL Rewrite","Przekierowanie adresu URL"
"Redirect item has been saved.","Przekierowanie adresu URL zostało zapisane."
"Request Path","Ścieżka polecenia"
"Requires full page cache refresh to take effect.","Wymagane jest pełne odświeżenie pamięci podręcznej, aby zmiany przyniosły efekt."
"Select URL Redirect Type","Wybierz typ przekierowania adresu URL"
"Store","Sklep"
"Store View","Widok sklepu"
"Target Path","Ścieżka docelowa"
"Temporary (302)","Tymczasowe (302)"
"Type","Typ"
"URL Redirect","Adres URL przekierowania"
"URL Redirect Information","Informacje o adresie URL przekierowania"
"URL Redirect Management","Zarządzanie przekierowaniem adresu URL"
"URL Redirect has been deleted.","Adres URL przekierowania został usunięty."
"URL Redirect with same Request Path and Store already exists.","Przekierowanie adresu URL z tą samą ścieżką, w tym samym sklepie, już istnieje."
"URL Redirects","Przekierowanie URL"
